C,gamma,macro_f1,balanced_accuracy,normal_recall,fit_seconds,model,representation,stage
1,0.03125,0.286390034225348,0.317276021080369,0.25,0.00335166684817523,rbf_unweighted,one_second,development93
1,0.125,0.626435126726276,0.623394268774704,0.5,0.0032391669228673,rbf_unweighted,one_second,development93
1,0.5,0.664348955360619,0.66695487483531,0.5,0.00334687484428287,rbf_unweighted,one_second,development93
1,2,0.372344835632866,0.377140974967062,0,0.00367454206570983,rbf_unweighted,one_second,development93
4,0.03125,0.287606112054329,0.317276021080369,0.25,0.0032404160592705,rbf_unweighted,one_second,development93
4,0.125,0.626435126726276,0.623394268774704,0.5,0.00330612505786121,rbf_unweighted,one_second,development93
4,0.5,0.666038822288822,0.66695487483531,0.5,0.00351604097522795,rbf_unweighted,one_second,development93
4,2,0.372344835632866,0.377140974967062,0,0.0040438340511173,rbf_unweighted,one_second,development93
16,0.03125,0.34990730441231,0.360836627140975,0.25,0.0033535840921104,rbf_unweighted,one_second,development93
16,0.125,0.624802325565173,0.623394268774704,0.5,0.00336249999236315,rbf_unweighted,one_second,development93
16,0.5,0.666038822288822,0.66695487483531,0.5,0.00369654188398272,rbf_unweighted,one_second,development93
16,2,0.372344835632866,0.377140974967062,0,0.00428020895924419,rbf_unweighted,one_second,development93
64,0.03125,0.620555555555556,0.611083662714097,0.75,0.00317416701000184,rbf_unweighted,one_second,development93
64,0.125,0.754316330853969,0.745553359683794,0.75,0.00305704097263515,rbf_unweighted,one_second,development93
64,0.5,0.862974011114743,0.860136693017128,1,0.00347779295407236,rbf_unweighted,one_second,development93
64,2,0.48770085846357,0.470191040843215,0,0.00442829204257578,rbf_unweighted,one_second,development93
256,0.03125,0.798927772269449,0.803318511198946,1,0.00301029114052653,rbf_unweighted,one_second,development93
256,0.125,0.875787078418657,0.877182147562582,1,0.00289337511640042,rbf_unweighted,one_second,development93
256,0.5,0.92262077294686,0.92189558629776,1,0.0031587079865858,rbf_unweighted,one_second,development93
256,2,0.805459965979829,0.773921277997365,0.75,0.00546541600488126,rbf_unweighted,one_second,development93
1024,0.03125,0.879386534518113,0.882863965744401,1,0.00285587506368756,rbf_unweighted,one_second,development93
1024,0.125,0.915372405372405,0.916460803689064,1,0.00263533391989768,rbf_unweighted,one_second,development93
1024,0.5,0.92160633525689,0.915966732542819,1,0.00327216694131494,rbf_unweighted,one_second,development93
1024,2,0.798064586202374,0.768486495388669,0.75,0.00537249899934977,rbf_unweighted,one_second,development93
1,0.03125,0.51770391523681,0.656085309617918,1,0.0036846250295639,rbf_class_balanced,one_second,development93
1,0.125,0.607611375677737,0.738471673254282,1,0.00371541792992502,rbf_class_balanced,one_second,development93
1,0.5,0.803869854174732,0.888545783926219,1,0.00383620802313089,rbf_class_balanced,one_second,development93
1,2,0.867028573147405,0.87693511198946,1,0.00400791596621275,rbf_class_balanced,one_second,development93
4,0.03125,0.513065906187036,0.6504034914361,1,0.00368475005961955,rbf_class_balanced,one_second,development93
4,0.125,0.607611375677737,0.738471673254282,1,0.00379354192409664,rbf_class_balanced,one_second,development93
4,0.5,0.803869854174732,0.888545783926219,1,0.00397804204840213,rbf_class_balanced,one_second,development93
4,2,0.867028573147405,0.87693511198946,1,0.00431166612543166,rbf_class_balanced,one_second,development93
16,0.03125,0.513065906187036,0.6504034914361,1,0.00376774999313056,rbf_class_balanced,one_second,development93
16,0.125,0.617937716004078,0.748888339920948,1,0.00388370803557336,rbf_class_balanced,one_second,development93
16,0.5,0.816898954703833,0.888545783926219,1,0.00415466702543199,rbf_class_balanced,one_second,development93
16,2,0.867028573147405,0.87693511198946,1,0.00472816696856171,rbf_class_balanced,one_second,development93
64,0.03125,0.620353330879647,0.748888339920949,1,0.00379962415900081,rbf_class_balanced,one_second,development93
64,0.125,0.824208149684556,0.860136693017128,1,0.00341616699006408,rbf_class_balanced,one_second,development93
64,0.5,0.85371201006952,0.882863965744401,1,0.00372808403335512,rbf_class_balanced,one_second,development93
64,2,0.888398212594519,0.893980566534914,1,0.00490833295043558,rbf_class_balanced,one_second,development93
256,0.03125,0.759530202464985,0.816123188405797,1,0.00325837591663003,rbf_class_balanced,one_second,development93
256,0.125,0.857936507936508,0.888545783926219,1,0.00285683397669345,rbf_class_balanced,one_second,development93
256,0.5,0.901311249137336,0.905591238471673,1,0.0034417089773342,rbf_class_balanced,one_second,development93
256,2,0.839929189761011,0.83691534914361,1,0.00544229208026081,rbf_class_balanced,one_second,development93
1024,0.03125,0.845421245421245,0.882863965744401,1,0.00304295809473842,rbf_class_balanced,one_second,development93
1024,0.125,0.887266211394118,0.894227602108037,1,0.00263166707009077,rbf_class_balanced,one_second,development93
1024,0.5,0.915359700685788,0.916460803689064,1,0.00324529106728733,rbf_class_balanced,one_second,development93
1024,2,0.798064586202374,0.768486495388669,0.75,0.00543862499762326,rbf_class_balanced,one_second,development93
1,0.03125,0.497529159437054,0.640233860342556,1,0.00377733295317739,rbf_file_class_balanced,one_second,development93
1,0.125,0.602623544259281,0.728055006587615,1,0.00386233313474804,rbf_file_class_balanced,one_second,development93
