model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_file_class_balanced,0,1,0.03125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00229791691526771,0.555555555555556,0.428968253968254,0.586805555555556,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1,0.03125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.0024585840292275,0.588235294117647,0.509897987317342,0.649859943977591,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1,0.125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.0020272919209674,0.611111111111111,0.51464626391097,0.659722222222222,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1,0.125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00260433391667902,0.647058823529412,0.567787114845938,0.713352007469654,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1,0.5,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00212150008883327,0.666666666666667,0.596428571428571,0.732638888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1,0.5,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00254387489985675,0.794117647058823,0.74863782051282,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,1,2,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00227825006004423,0.638888888888889,0.607142857142857,0.701388888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,1,2,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00260066706687212,0.705882352941177,0.749095731854353,0.76890756302521,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,4,0.03125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00210129201877862,0.555555555555556,0.428968253968254,0.586805555555556,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,4,0.03125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00256354105658829,0.588235294117647,0.509897987317342,0.649859943977591,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,4,0.125,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00208920903969556,0.611111111111111,0.51464626391097,0.659722222222222,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,4,0.125,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00257041596341878,0.647058823529412,0.567787114845938,0.713352007469654,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,4,0.5,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00221320800483227,0.666666666666667,0.596428571428571,0.732638888888889,1,36,equal_revolutions,train70
rbf_file_class_balanced,1,4,0.5,env_spread_order|env_centroid_order|skewness|env_entropy|env_peak_order|peak_to_peak|env_low_order_ratio|env_harmonic_ratio,36,34,0.00269791705068201,0.794117647058823,0.74863782051282,0.834033613445378,1,34,equal_revolutions,train70
rbf_file_class_balanced,0,4,2,env_entropy|env_centroid_order|skewness|env_spread_order|peak_to_peak|crest_factor|ac_rms,34,36,0.00246516696643084,0.638888888888889,0.607142857142857,0.701388888888889,1,36,equal_revolutions,train70
