C,gamma,macro_f1,balanced_accuracy,normal_recall,fit_seconds,representation,stage
1,0.03125,0.469433120642798,0.618332749766573,1,0.0047565009444952,equal_revolutions,train70
1,0.125,0.541216689378454,0.686537114845938,1,0.00463162583764642,equal_revolutions,train70
1,0.5,0.672533195970696,0.783336251167133,1,0.00466537498869002,equal_revolutions,train70
1,2,0.678119294498605,0.735148225957049,1,0.00487891712691635,equal_revolutions,train70
4,0.03125,0.469433120642798,0.618332749766573,1,0.00466483307536691,equal_revolutions,train70
4,0.125,0.541216689378454,0.686537114845938,1,0.00465962500311434,equal_revolutions,train70
4,0.5,0.672533195970696,0.783336251167133,1,0.00491112505551428,equal_revolutions,train70
4,2,0.678119294498605,0.735148225957049,1,0.00536725088022649,equal_revolutions,train70
16,0.03125,0.469433120642798,0.618332749766573,1,0.00470695807598531,equal_revolutions,train70
16,0.125,0.627530820293978,0.746060924369748,1,0.00452591595239937,equal_revolutions,train70
16,0.5,0.69677562021312,0.783336251167133,1,0.00479841802734882,equal_revolutions,train70
16,2,0.717533708913019,0.735148225957049,1,0.00548670894932002,equal_revolutions,train70
64,0.03125,0.670181874961287,0.775983309990663,1,0.00432183302473277,equal_revolutions,train70
64,0.125,0.74989186671172,0.798961251167133,1,0.00400066690053791,equal_revolutions,train70
64,0.5,0.781307754745255,0.797225140056022,1,0.00426674995105714,equal_revolutions,train70
64,2,0.721146762526073,0.735148225957049,1,0.00545599916949868,equal_revolutions,train70
256,0.03125,0.743880737873873,0.792016806722689,1,0.00369999988470227,equal_revolutions,train70
256,0.125,0.81484962406015,0.828475140056022,1,0.00315737503115088,equal_revolutions,train70
256,0.5,0.78115857959608,0.790280695611578,1,0.00355033401865512,equal_revolutions,train70
256,2,0.695077758739678,0.717291083099907,1,0.00567908294033259,equal_revolutions,train70
1024,0.03125,0.825481149397558,0.835419584500467,1,0.003353540902026,equal_revolutions,train70
1024,0.125,0.790715424925951,0.798961251167133,1,0.00275812495965511,equal_revolutions,train70
1024,0.5,0.764679232016693,0.769447362278245,1,0.00343466794583946,equal_revolutions,train70
1024,2,0.674873737373737,0.68297735760971,1,0.00616933312267065,equal_revolutions,train70
1,0.03125,0.500315656565657,0.641310690943044,1,0.00270212499890476,one_second,train70
1,0.125,0.607573472937562,0.741582049486461,1,0.00260862510185689,one_second,train70
1,0.5,0.64876521957724,0.755966970121382,1,0.00265845900867134,one_second,train70
1,2,0.741812829380764,0.758534663865546,1,0.00280837609898299,one_second,train70
4,0.03125,0.500315656565657,0.641310690943044,1,0.00262487400323153,one_second,train70
4,0.125,0.604259078998168,0.741582049486461,1,0.00262654095422477,one_second,train70
4,0.5,0.64876521957724,0.755966970121382,1,0.00274937495123595,one_second,train70
4,2,0.741812829380764,0.758534663865546,1,0.00299283303320408,one_second,train70
16,0.03125,0.500315656565657,0.641310690943044,1,0.00261237495578825,one_second,train70
16,0.125,0.675828698748903,0.787216970121382,1,0.00258300011046231,one_second,train70
16,0.5,0.665975364504776,0.755966970121382,1,0.00274479202926159,one_second,train70
16,2,0.741812829380764,0.758534663865546,1,0.0031635839259252,one_second,train70
64,0.03125,0.619178921568627,0.730844421101774,1,0.00251279200892895,one_second,train70
64,0.125,0.740575125357734,0.801105859010271,1,0.00235750002320856,one_second,train70
64,0.5,0.70348748258965,0.755966970121382,1,0.00264508288819343,one_second,train70
64,2,0.750286218736506,0.765479108309991,1,0.00327195902355015,one_second,train70
256,0.03125,0.79156878612414,0.846653244631186,1,0.00231520901434124,one_second,train70
256,0.125,0.737408546619073,0.802433473389356,1,0.00209583307150751,one_second,train70
256,0.5,0.781001119623411,0.790689192343604,1,0.00226450001355261,one_second,train70
256,2,0.753028313598167,0.765479108309991,1,0.00343075103592128,one_second,train70
1024,0.03125,0.740062454707764,0.811114028944911,1,0.00213775003794581,one_second,train70
1024,0.125,0.771050286143165,0.783336251167133,1,0.00199629203416407,one_second,train70
1024,0.5,0.798876858435682,0.799778244631186,1,0.00221791595686227,one_second,train70
1024,2,0.79100173109461,0.794890873015873,1,0.00352925097104162,one_second,train70
