feature,importance,band,physical_family
b3000_5000__ftf_hm0.1__median,0.0420110857935367,b3000_5000,FTF
env_entropy__median,0.0359853466069167,q1_base,statistical
b1500_3000__spin_half_hm0.1__median,0.0311573627365398,b1500_3000,spin_half
env_spread_order__median,0.0257199610225265,q1_base,statistical
b1500_3000__carrier_ratio__median,0.0257086219126319,b1500_3000,statistical
b3000_5000__spin_half_fund__median,0.023796638499946,b3000_5000,spin_half
b500_1500__bpfo_hm0.1__median,0.0223485077341424,b500_1500,BPFO
b1500_3000__ftf_hm0.1__median,0.0213742652187013,b1500_3000,FTF
b3000_5000__spin_half_peak__median,0.0199414892136359,b3000_5000,spin_half
b1500_3000__spin_half_peak__median,0.0197250668437412,b1500_3000,spin_half
env_centroid_order__median,0.019538484532623,q1_base,statistical
b3000_5000__bpfo_hm0.1__median,0.019529258105699,b3000_5000,BPFO
b1500_3000__bpfi_hm0.1__median,0.0192013025569577,b1500_3000,BPFI
b3000_5000__spin_half_hm0.1__median,0.0185196845683855,b3000_5000,spin_half
b3000_5000__bpfi_peak__median,0.0181037093935838,b3000_5000,BPFI
b1500_3000__spin_half_fund__median,0.0179348364718786,b1500_3000,spin_half
b500_1500__carrier_ratio__median,0.0176985224035969,b500_1500,statistical
b3000_5000__bpfi_fund__median,0.0174382751321497,b3000_5000,BPFI
skewness__median,0.017277411966497,q1_base,statistical
b3000_5000__bpfo_peak__median,0.0171278240821182,b3000_5000,BPFO
b1500_3000__bpfo_peak__median,0.0160742213222057,b1500_3000,BPFO
b3000_5000__bpfo_fund__median,0.0159182839483106,b3000_5000,BPFO
b1500_3000__bpfo_hm0.1__median,0.0156891775629922,b1500_3000,BPFO
peak_to_peak__median,0.0156092598826705,q1_base,statistical
b3000_5000__spin_half_hm0.3__median,0.0152564944831213,b3000_5000,spin_half
b3000_5000__bpfo_hm0.3__median,0.0149885643537448,b3000_5000,BPFO
ac_rms__median,0.0149180630744894,q1_base,statistical
b1500_3000__bpfo_fund__median,0.0137162244830564,b1500_3000,BPFO
b3000_5000__bpfi_hm0.3__median,0.0137141879919552,b3000_5000,BPFI
b500_1500__bpfo_peak__median,0.013405477593924,b500_1500,BPFO
b500_1500__bpfo_fund__median,0.0128993495412734,b500_1500,BPFO
b500_1500__bpfo_hm0.2__median,0.0127533801542481,b500_1500,BPFO
b3000_5000__bpfi_hm0.2__median,0.0124654485973145,b3000_5000,BPFI
env_harmonic_ratio__median,0.0120656349692897,q1_base,statistical
b1500_3000__bpfi_peak__median,0.0119880126395929,b1500_3000,BPFI
b3000_5000__bpfo_hm0.2__median,0.0113102436352326,b3000_5000,BPFO
b500_1500__bpfo_hm0.3__median,0.0109973808321043,b500_1500,BPFO
mean_abs__median,0.010990574873555,q1_base,statistical
b1500_3000__bpfi_hm0.2__median,0.0107052100610457,b1500_3000,BPFI
b3000_5000__ftf_fund__median,0.0105567166310622,b3000_5000,FTF
b1500_3000__bpfi_fund__median,0.0101320255202898,b1500_3000,BPFI
b3000_5000__bpfi_hm0.1__median,0.0100546271152778,b3000_5000,BPFI
b1500_3000__spin_half_hm0.3__median,0.0100355051731798,b1500_3000,spin_half
b3000_5000__bpfi_contrast__median,0.00911332357932535,b3000_5000,BPFI
b3000_5000__bpfo_contrast__median,0.00896929859593753,b3000_5000,BPFO
b1500_3000__bpfo_hm0.2__median,0.00885942980860901,b1500_3000,BPFO
b1500_3000__bpfi_hm0.3__median,0.00871029545383317,b1500_3000,BPFI
b500_1500__bpfi_hm0.3__median,0.00845700287749025,b500_1500,BPFI
b1500_3000__bpfo_contrast__median,0.00834935349480693,b1500_3000,BPFO
b3000_5000__envelope_cv__median,0.00824034967786727,b3000_5000,statistical
b3000_5000__spin_half_hm0.2__median,0.00812730753809822,b3000_5000,spin_half
b500_1500__bpfi_hm0.1__median,0.00797410478170843,b500_1500,BPFI
b500_1500__bpfo_contrast__median,0.00793942549445273,b500_1500,BPFO
b1500_3000__ftf_fund__median,0.00766860845483191,b1500_3000,FTF
b500_1500__spin_half_peak__median,0.00752510130068639,b500_1500,spin_half
b500_1500__bpfi_fund__median,0.00739844508517382,b500_1500,BPFI
b500_1500__ftf_hm0.1__median,0.0072885775746572,b500_1500,FTF
b1500_3000__envelope_cv__median,0.0072691370147536,b1500_3000,statistical
b1500_3000__bpfo_hm0.3__median,0.00692866885132834,b1500_3000,BPFO
b500_1500__envelope_kurtosis__median,0.00691979577017684,b500_1500,statistical
b1500_3000__bpfi_contrast__median,0.00675397003728546,b1500_3000,BPFI
b500_1500__bpfi_peak__median,0.00650361358137263,b500_1500,BPFI
b500_1500__envelope_cv__median,0.00646375748640613,b500_1500,statistical
kurtosis_pearson__median,0.00641841196114127,q1_base,statistical
b1500_3000__ftf_peak__median,0.00618481791121271,b1500_3000,FTF
b500_1500__spin_half_hm0.3__median,0.00609697059776779,b500_1500,spin_half
b500_1500__spin_half_contrast__median,0.00588292143632839,b500_1500,spin_half
b500_1500__bpfi_hm0.2__median,0.0058668016333442,b500_1500,BPFI
env_low_order_ratio__median,0.00570396633634002,q1_base,statistical
b3000_5000__envelope_kurtosis__median,0.00545918425818364,b3000_5000,statistical
crest_factor__median,0.00534958274724214,q1_base,statistical
b500_1500__spin_half_fund__median,0.00506554040648494,b500_1500,spin_half
b3000_5000__carrier_ratio__median,0.00503172549127064,b3000_5000,statistical
b3000_5000__ftf_peak__median,0.00500673367310674,b3000_5000,FTF
b500_1500__ftf_peak__median,0.00434532249493146,b500_1500,FTF
b1500_3000__spin_half_contrast__median,0.00419345942626793,b1500_3000,spin_half
env_peak_order__median,0.00403590697407877,q1_base,statistical
b500_1500__spin_half_hm0.2__median,0.00385034573265833,b500_1500,spin_half
b1500_3000__spin_half_hm0.2__median,0.00375093379253679,b1500_3000,spin_half
b3000_5000__spin_half_contrast__median,0.0036443642356083,b3000_5000,spin_half
b500_1500__spin_half_hm0.1__median,0.00347215141729743,b500_1500,spin_half
b500_1500__bpfi_contrast__median,0.00328586327179958,b500_1500,BPFI
b1500_3000__envelope_kurtosis__median,0.00280372717490126,b1500_3000,statistical
b500_1500__ftf_fund__median,0.00270998333295288,b500_1500,FTF
b500_1500__ftf_hm0.2__median,0,b500_1500,FTF
b500_1500__ftf_hm0.3__median,0,b500_1500,FTF
b1500_3000__ftf_hm0.2__median,0,b1500_3000,FTF
b1500_3000__ftf_hm0.3__median,0,b1500_3000,FTF
b3000_5000__ftf_hm0.2__median,0,b3000_5000,FTF
b3000_5000__ftf_hm0.3__median,0,b3000_5000,FTF
