min_samples_leaf,max_features,cv_seed,folds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files
1,sqrt,11,3,0.946236559139785,0.958048335613315,0.966414141414141,1,93
1,sqrt,29,3,0.946236559139785,0.957312206066359,0.961100131752306,1,93
1,sqrt,42,3,0.956989247311828,0.968372093023256,0.977777777777778,1,93
1,sqrt,71,3,0.946236559139785,0.96078431372549,0.972222222222222,1,93
1,sqrt,97,3,0.967741935483871,0.975342413552826,0.977525252525253,1,93
1,0.25,11,3,0.935483870967742,0.949818230419674,0.95554457619675,1,93
1,0.25,29,3,0.946236559139785,0.957312206066359,0.961100131752306,1,93
1,0.25,42,3,0.967741935483871,0.976073187895848,0.983333333333333,1,93
1,0.25,71,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
1,0.25,97,3,0.967741935483871,0.975342413552826,0.977525252525253,1,93
1,0.5,11,3,0.924731182795699,0.941426306251888,0.944675010979359,1,93
1,0.5,29,3,0.956989247311828,0.96492574688616,0.966655687307861,1,93
1,0.5,42,3,0.956989247311828,0.967516287699012,0.971969696969697,1,93
1,0.5,71,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
1,0.5,97,3,0.967741935483871,0.975342413552826,0.977525252525253,1,93
1,0.75,11,3,0.924731182795699,0.943273125163313,0.944675010979359,1,93
1,0.75,29,3,0.924731182795699,0.932259308217669,0.932564778216952,1,93
1,0.75,42,3,0.967741935483871,0.975342413552826,0.977525252525253,1,93
1,0.75,71,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
1,0.75,97,3,0.967741935483871,0.975342413552826,0.977525252525253,1,93
1,1.0,11,3,0.913978494623656,0.934729781736214,0.933805445761967,1,93
1,1.0,29,3,0.903225806451613,0.916837409120952,0.916139657444005,1,93
1,1.0,42,3,0.967741935483871,0.975342413552826,0.977525252525253,1,93
1,1.0,71,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
1,1.0,97,3,0.967741935483871,0.975342413552826,0.977525252525253,1,93
2,sqrt,11,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
2,sqrt,29,3,0.924731182795699,0.942430460556316,0.949989020641195,1,93
2,sqrt,42,3,0.946236559139785,0.96078431372549,0.972222222222222,1,93
2,sqrt,71,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
2,sqrt,97,3,0.946236559139785,0.96078431372549,0.972222222222222,1,93
2,0.25,11,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
2,0.25,29,3,0.924731182795699,0.942430460556316,0.949989020641195,1,93
2,0.25,42,3,0.956989247311828,0.968372093023256,0.977777777777778,1,93
2,0.25,71,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
2,0.25,97,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
2,0.5,11,3,0.913978494623656,0.934071103982892,0.939119455423803,1,93
2,0.5,29,3,0.935483870967742,0.949818230419674,0.95554457619675,1,93
2,0.5,42,3,0.956989247311828,0.968372093023256,0.977777777777778,1,93
2,0.5,71,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
2,0.5,97,3,0.946236559139785,0.959818230419674,0.966414141414141,1,93
2,0.75,11,3,0.913978494623656,0.934071103982892,0.939119455423803,1,93
2,0.75,29,3,0.913978494623656,0.925174825174825,0.927009222661397,1,93
2,0.75,42,3,0.946236559139785,0.959818230419674,0.966414141414141,1,93
2,0.75,71,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
2,0.75,97,3,0.946236559139785,0.959818230419674,0.966414141414141,1,93
2,1.0,11,3,0.903225806451613,0.925540406437416,0.928249890206412,1,93
2,1.0,29,3,0.913978494623656,0.892203486169003,0.927009222661397,1,93
2,1.0,42,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
2,1.0,71,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
2,1.0,97,3,0.946236559139785,0.959818230419674,0.966414141414141,1,93
3,sqrt,11,3,0.913978494623656,0.936064672125193,0.949747474747475,1,93
3,sqrt,29,3,0.924731182795699,0.945896794726074,0.961111111111111,1,93
3,sqrt,42,3,0.935483870967742,0.953296703296703,0.966666666666667,1,93
3,sqrt,71,3,0.913978494623656,0.904368555523416,0.949747474747475,1,93
3,sqrt,97,3,0.913978494623656,0.936064672125193,0.949747474747475,1,93
3,0.25,11,3,0.924731182795699,0.943310035729957,0.95530303030303,1,93
3,0.25,29,3,0.903225806451613,0.92610180983675,0.938383838383838,1,93
3,0.25,42,3,0.946236559139785,0.96078431372549,0.972222222222222,1,93
3,0.25,71,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
3,0.25,97,3,0.935483870967742,0.921918767507003,0.966666666666667,1,93
3,0.5,11,3,0.924731182795699,0.942430460556316,0.949989020641195,1,93
3,0.5,29,3,0.89247311827957,0.862058070557161,0.927514273166447,1,93
3,0.5,42,3,0.946236559139785,0.96078431372549,0.972222222222222,1,93
3,0.5,71,3,0.924731182795699,0.911768464094045,0.95530303030303,1,93
3,0.5,97,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
3,0.75,11,3,0.924731182795699,0.942430460556316,0.949989020641195,1,93
3,0.75,29,3,0.881720430107527,0.851826683427477,0.916150636802811,1,93
3,0.75,42,3,0.946236559139785,0.96078431372549,0.972222222222222,1,93
3,0.75,71,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
3,0.75,97,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
3,1.0,11,3,0.913978494623656,0.934071103982892,0.939119455423803,1,93
3,1.0,29,3,0.860215053763441,0.813531047265987,0.893423364075538,1,93
3,1.0,42,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
3,1.0,71,3,0.935483870967742,0.950634010312533,0.960858585858586,1,93
3,1.0,97,3,0.935483870967742,0.952234382124943,0.960858585858586,1,93
