min_samples_leaf,max_features,accuracy_mean,accuracy_min,macro_f1_mean,balanced_accuracy_mean,normal_recall_mean,max_features_order,feature_family
1,0.25,0.86,0.814285714285714,0.858624172641837,0.85531746031746,1,1,q1_base
1,0.5,0.862857142857143,0.785714285714286,0.845381622939662,0.862460317460317,1,2,q1_base
1,0.75,0.851428571428571,0.785714285714286,0.834849739751686,0.852936507936508,1,3,q1_base
1,1.0,0.857142857142857,0.785714285714286,0.840454868874038,0.859603174603175,1,4,q1_base
1,sqrt,0.86,0.814285714285714,0.858624172641837,0.85531746031746,1,0,q1_base
2,0.25,0.791428571428571,0.685714285714286,0.711205245848418,0.818015873015873,1,1,q1_base
2,0.5,0.808571428571428,0.728571428571429,0.734345865489759,0.831746031746032,1,2,q1_base
2,0.75,0.805714285714286,0.714285714285714,0.733891116737922,0.82515873015873,1,3,q1_base
2,1.0,0.811428571428571,0.7,0.73986881631796,0.831825396825397,1,4,q1_base
2,sqrt,0.791428571428571,0.685714285714286,0.711205245848418,0.818015873015873,1,0,q1_base
3,0.25,0.754285714285714,0.642857142857143,0.665232453397193,0.788095238095238,1,1,q1_base
3,0.5,0.771428571428571,0.657142857142857,0.683754806009918,0.803412698412698,1,2,q1_base
3,0.75,0.768571428571428,0.671428571428571,0.684954883733993,0.801428571428571,1,3,q1_base
3,1.0,0.768571428571428,0.671428571428571,0.685991312987233,0.79952380952381,1,4,q1_base
3,sqrt,0.754285714285714,0.642857142857143,0.665232453397193,0.788095238095238,1,0,q1_base
1,0.25,0.948571428571429,0.914285714285714,0.954224947484395,0.951746031746032,1,1,single_band_physics
1,0.5,0.942857142857143,0.9,0.938975310398176,0.94484126984127,1,2,single_band_physics
1,0.75,0.937142857142857,0.9,0.916073912759936,0.939285714285714,1,3,single_band_physics
1,1.0,0.934285714285714,0.9,0.904565976251999,0.936507936507937,1,4,single_band_physics
1,sqrt,0.954285714285714,0.928571428571429,0.959318615850374,0.955952380952381,1,0,single_band_physics
2,0.25,0.911428571428571,0.885714285714286,0.842465650065257,0.930476190476191,1,1,single_band_physics
2,0.5,0.902857142857143,0.885714285714286,0.829005873215706,0.922380952380953,1,2,single_band_physics
2,0.75,0.897142857142857,0.885714285714286,0.823202589942134,0.916825396825397,1,3,single_band_physics
2,1.0,0.894285714285714,0.871428571428571,0.815834926734253,0.915396825396826,1,4,single_band_physics
2,sqrt,0.911428571428571,0.885714285714286,0.847262717325011,0.933174603174603,1,0,single_band_physics
3,0.25,0.882857142857143,0.857142857142857,0.797619313753615,0.906428571428571,1,1,single_band_physics
3,0.5,0.882857142857143,0.857142857142857,0.795853163366775,0.905873015873016,1,2,single_band_physics
3,0.75,0.88,0.828571428571429,0.795711011917054,0.906349206349206,1,3,single_band_physics
3,1.0,0.877142857142857,0.814285714285714,0.79383081061251,0.904920634920635,1,4,single_band_physics
3,sqrt,0.88,0.857142857142857,0.793164144298446,0.903095238095238,1,0,single_band_physics
1,0.25,0.922857142857143,0.9,0.933106469803207,0.93484126984127,1,1,multiband_title_bsf
1,0.5,0.914285714285714,0.885714285714286,0.927560853676268,0.926507936507937,1,2,multiband_title_bsf
1,0.75,0.911428571428571,0.885714285714286,0.923594980862718,0.923730158730159,1,3,multiband_title_bsf
1,1.0,0.902857142857143,0.885714285714286,0.894196653964391,0.893174603174603,0.9,4,multiband_title_bsf
1,sqrt,0.928571428571429,0.9,0.937008516661264,0.937698412698413,1,0,multiband_title_bsf
2,0.25,0.897142857142857,0.885714285714286,0.862430657497246,0.920634920634921,1,1,multiband_title_bsf
2,0.5,0.891428571428571,0.871428571428571,0.850370952466735,0.912619047619048,1,2,multiband_title_bsf
