window_id,ac_rms,mean_abs,peak_to_peak,crest_factor,kurtosis_pearson,skewness
source/12kHz_DE_data/B/0007/B007_0.mat::w0000,-0.584563212300998,-0.5070107072911556,-0.7816779761303023,-0.9644248550188729,-0.6942190561035296,-0.4454647291769296
source/12kHz_DE_data/B/0007/B007_0.mat::w0001,-0.5801799210133413,-0.5009599067276767,-0.7605693453466367,-0.8473735939835881,-0.7061559192886677,-0.10573890622381397
source/12kHz_DE_data/B/0007/B007_0.mat::w0002,-0.5806107048060167,-0.5027463875108776,-0.7745493578543926,-0.826229156563863,-0.6938603614102763,-0.14310807454169971
source/12kHz_DE_data/B/0007/B007_0.mat::w0003,-0.5852152576114876,-0.506131114465155,-0.7555397091186338,-0.6721380420630105,-0.6968548814385274,-0.32961682137591874
source/12kHz_DE_data/B/0007/B007_0.mat::w0004,-0.5856991998113437,-0.5080143336352273,-0.7825492516973579,-0.8516767240188254,-0.7013693802770384,-0.21514838626556937
source/12kHz_DE_data/B/0007/B007_0.mat::w0005,-0.5836137771143697,-0.5045424812669285,-0.7692028941474605,-0.771679256969737,-0.7031055528546274,-0.15396304470564376
source/12kHz_DE_data/B/0007/B007_0.mat::w0006,-0.581421626950992,-0.5031772712815985,-0.7810443211724436,-0.9793635170002017,-0.6934533791395278,-0.046019839023451206
source/12kHz_DE_data/B/0007/B007_0.mat::w0007,-0.5784024812461872,-0.49875032383663703,-0.7609257762604321,-0.8684174187734053,-0.6941075489581491,-0.06714893689837063
source/12kHz_DE_data/B/0007/B007_1.mat::w0000,-0.5793825956612377,-0.5016666912671045,-0.7347083023790314,-0.655832782421532,-0.6777942800803339,-0.09216239405166753
source/12kHz_DE_data/B/0007/B007_1.mat::w0001,-0.5894472104109736,-0.5112765317438612,-0.7780740635574812,-0.9421539987601685,-0.695837317498968,0.16173880789564166
source/12kHz_DE_data/B/0007/B007_1.mat::w0002,-0.578020093772226,-0.4995616015265976,-0.7298370798904932,-0.5798681142460698,-0.6947115537004903,0.06944696680306059
source/12kHz_DE_data/B/0007/B007_1.mat::w0003,-0.5766256035564935,-0.49781442941779325,-0.7837373547433428,-1.0347195501651605,-0.6922944639315957,-0.04370243348668833
source/12kHz_DE_data/B/0007/B007_1.mat::w0004,-0.5801975229741819,-0.5005761296399026,-0.7813215452165068,-0.9136517301580852,-0.697324765469804,-0.07349376462988186
source/12kHz_DE_data/B/0007/B007_1.mat::w0005,-0.5762616419391229,-0.4959796855972684,-0.7809255108678451,-1.014241860150486,-0.7046716602567322,-0.13976333863164897
source/12kHz_DE_data/B/0007/B007_1.mat::w0006,-0.5764921889781943,-0.49694071505135096,-0.7721335483275567,-0.8865643735370079,-0.6942888165611326,-0.2530826735002062
source/12kHz_DE_data/B/0007/B007_1.mat::w0007,-0.5830093833568684,-0.5021887021718042,-0.8045687614829452,-1.1445494338040934,-0.7137551123059087,-0.21335797752359434
source/12kHz_DE_data/B/0007/B007_2.mat::w0000,-0.5615114285945516,-0.47682384401369793,-0.7704306006283116,-1.0149221827267998,-0.7254916702997117,0.052445990237044694
source/12kHz_DE_data/B/0007/B007_2.mat::w0001,-0.5516213265054509,-0.46887747450395123,-0.7824700448276255,-1.1260101181817512,-0.7216109379665907,0.1061323613723296
source/12kHz_DE_data/B/0007/B007_2.mat::w0002,-0.5541755491700232,-0.47219910490888206,-0.7581535358198007,-0.89758036400697,-0.707165121712488,0.0859387729797319
source/12kHz_DE_data/B/0007/B007_2.mat::w0003,-0.561564506632098,-0.4810732851063599,-0.7791433562988677,-1.0534899684815333,-0.7110855885678635,0.1794358993559495
source/12kHz_DE_data/B/0007/B007_2.mat::w0004,-0.5593463152213207,-0.4770423009307829,-0.7791037528640016,-1.0251029911555156,-0.7152415759635985,0.1760493751089604
source/12kHz_DE_data/B/0007/B007_2.mat::w0005,-0.55840020902874,-0.47593641795466896,-0.7711038590210364,-0.9829868561121657,-0.7142187429512635,0.23913679320625084
source/12kHz_DE_data/B/0007/B007_2.mat::w0006,-0.5636569076236699,-0.48143875925606555,-0.7656781884443719,-0.9715329202680417,-0.7057017893283187,0.10005929354315679
