window_id,file_id,group_id,domain,split,label_code,label_known,window_index,start_sample,end_sample_exclusive,start_seconds,end_seconds,window_mean_before_center,suspected_clipping_points_original,filter_boundary_flag,file_equal_weight,ac_rms,mean_abs,peak_to_peak,crest_factor,kurtosis_pearson,skewness
source/12kHz_DE_data/B/0007/B007_0.mat::w0000,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,0,0,12000,0,1,0.0022438754981703238,0,False,0.125,0.13690125682977103,0.10912424375527556,1.0384477844311375,3.8541647236302286,2.9828432601578316,-0.04037914394786087
source/12kHz_DE_data/B/0007/B007_0.mat::w0001,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,1,12000,24000,1,2,0.001847642071689951,0,False,0.125,0.13873420263334516,0.11100497188885561,1.1250257085828346,4.127051236083962,2.903265004387571,0.0037210740362471763
source/12kHz_DE_data/B/0007/B007_0.mat::w0002,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,2,24000,36000,2,3,0.0006754695666999314,0,False,0.125,0.13855406326016323,0.1104496925280805,1.067686107784431,4.176346149562303,2.9852345331078887,-0.0011298626820105302
source/12kHz_DE_data/B/0007/B007_0.mat::w0003,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,3,36000,48000,3,4,-8.030048320026853e-05,0,False,0.125,0.1366285932906246,0.10939764145804226,1.1456549700598804,4.535585225368337,2.965271275003864,-0.025340787597385585
source/12kHz_DE_data/B/0007/B007_0.mat::w0004,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,4,48000,60000,4,5,-0.000599510839155026,0,False,0.125,0.13642622484960942,0.10881229357924595,1.0348742115768463,4.117019168615703,2.9351749307906814,-0.010481502257269407
source/12kHz_DE_data/B/0007/B007_0.mat::w0005,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,5,60000,72000,5,6,-0.0009661133907185654,0,False,0.125,0.13729827886798154,0.10989142523400698,1.0896148502994012,4.30352061759691,2.923600567970414,-0.002538959424435628
source/12kHz_DE_data/B/0007/B007_0.mat::w0006,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,6,72000,84000,6,7,-0.0015182574692282126,0,False,0.125,0.1382149627429689,0.1103157639311294,1.0410467465069861,3.8193375946206474,2.9879477198750712,0.011473278029604055
source/12kHz_DE_data/B/0007/B007_0.mat::w0007,source/12kHz_DE_data/B/0007/B007_0.mat,source/12kHz_DE_data/B/0007/B007_0.mat,source,validation,3,True,7,84000,96000,7,8,-0.001602804954258153,0,False,0.125,0.1394774684919216,0.11169176112658682,1.1235637924151696,4.077990885048107,2.983586633353761,0.008730484402697174
source/12kHz_DE_data/B/0007/B007_1.mat::w0000,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,0,0,12000,0,1,-0.00018860410595475548,0,False,0.125,0.13906761742654788,0.11078528698043136,1.2310958483033931,4.573598360800294,3.09234062199159,0.00548345742250564
source/12kHz_DE_data/B/0007/B007_1.mat::w0001,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,1,12000,24000,1,2,-0.00041415881986027806,0,False,0.125,0.1348589321808131,0.10779832729563539,1.053229381237525,3.906085704575186,2.9720549636655273,0.03844267805216218
source/12kHz_DE_data/B/0007/B007_1.mat::w0002,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,2,24000,36000,2,3,-9.280798819028509e-05,0,False,0.125,0.13963737014338387,0.11143959734104347,1.251075369261477,4.750697976684467,2.97955997717726,0.02646216307406119
source/12kHz_DE_data/B/0007/B007_1.mat::w0003,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,3,36000,48000,3,4,0.0001446180264471071,0,False,0.125,0.14022049930850458,0.11198265866074185,1.0300011576846306,3.6902837535936364,2.9956737404721485,0.01177410323164625
source/12kHz_DE_data/B/0007/B007_1.mat::w0004,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,4,48000,60000,4,5,0.0001968950657019309,0,False,0.125,0.13872684208207436,0.11112425864412508,1.0399097005988023,3.9725342383803657,2.962138747551439,0.007906854678000404
source/12kHz_DE_data/B/0007/B007_1.mat::w0005,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,5,60000,72000,5,6,2.865288007318823e-05,0,False,0.125,0.14037269588305124,0.11255293928476381,1.0415340518962075,3.7380242508918986,2.913159961131294,-0.0006956784876790089
source/12kHz_DE_data/B/0007/B007_1.mat::w0006,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,6,72000,84000,6,7,0.00010409046157684763,0,False,0.125,0.14027628882268028,0.11225422920292748,1.0775946506986027,4.035684128561285,2.9823781953035504,-0.015405797742308597
source/12kHz_DE_data/B/0007/B007_1.mat::w0007,source/12kHz_DE_data/B/0007/B007_1.mat,source/12kHz_DE_data/B/0007/B007_1.mat,source,test,3,True,7,84000,96000,7,8,0.00022131448020625528,0,False,0.125,0.13755101612152393,0.11062303397205589,0.9445602794411178,3.4342327410343354,2.8526042473533018,-0.010249087143471454
source/12kHz_DE_data/B/0007/B007_2.mat::w0000,source/12kHz_DE_data/B/0007/B007_2.mat,source/12kHz_DE_data/B/0007/B007_2.mat,source,train,3,True,0,0,12000,0,1,0.00022981525199600858,0,False,0.125,0.14654074173660628,0.11850701590828898,1.084579361277445,3.7364381863458886,2.774361345561799,0.02425524584302255
source/12kHz_DE_data/B/0007/B007_2.mat::w0001,source/12kHz_DE_data/B/0007/B007_2.mat,source/12kHz_DE_data/B/0007/B007_2.mat,source,train,3,True,1,12000,24000,1,2,0.0003185860503992018,0,False,0.125,0.15067645162478668,0.12097693051545798,1.0351990818363275,3.4774542248416296,2.800232623919544,0.03122433829899559
source/12kHz_DE_data/B/0007/B007_2.mat::w0002,source/12kHz_DE_data/B/0007/B007_2.mat,source/12kHz_DE_data/B/0007/B007_2.mat,source,train,3,True,2,24000,36000,2,3,0.00014450973636061256,0,False,0.125,0.14960836114045006,0.11994449130574185,1.1349342514970058,4.010002088111799,2.896537058581278,0.0286029842840027
